old_id	new_id	order
HeLa_1(Datasets2)	HeLa_1(Datasets2)	1
Hs68(Datasets2)	Hs68(Datasets2)	2
HeLa_2(PRJNA266072)	HeLa_2(PRJNA266072)	3
HEK293(PRJNA266072)	HEK293(PRJNA266072)	4
HeLa_3_KCl(PRJNA541935)	HeLa_KCl(PRJNA541935)	7
HeLa_3_A_LiCl(PRJNA541935)	HeLa_A(PRJNA541935)	15
HEK293T_KCl(PRJNA752779)	HEK293T_KCl(PRJNA752779)	8
HEK293T_LiCl(PRJNA752779)	HEK293T_LiCl(PRJNA752779)	9
HEK293T_A_LiCl(PRJNA752779)	HEK293T_A(PRJNA752779)	16
SH-SY5Y_KCL(PRJNA752779)	SH-SY5Y_KCL(PRJNA752779)	10
SH-SY5Y_LiCl(PRJNA752779)	SH-SY5Y_LiCl(PRJNA752779)	11
SH-SY5Y_A_LiCl(PRJNA752779)	SH-SY5Y_A(PRJNA752779)	17
GM12878(ENCODE)	GM12878_pA-(ENCODE)	18
K562(ENCODE)	K562_pA-(ENCODE)	19
human_cerebellum(PRJNA646808)	Cerebellum(PRJNA646808)	13
human_total_brain(PRJNA646808)	Total_brain(PRJNA646808)	12
human_blood(PRJNA646808)	Blood(PRJNA646808)	14
HeLa_4(PRJNA231721)	HeLa_3(PRJNA231721)	5
K562_2(PRJNA231721)	K562(PRJNA231721)	6
